총 샘플 수,기준1%_상대MDE,기준1%_실험군CR,기준3%_상대MDE,기준3%_실험군CR,기준5%_상대MDE,기준5%_실험군CR,기준10%_상대MDE,기준10%_실험군CR
10000,63.9%,1.64%,34.4%,4.03%,25.8%,6.29%,17.4%,11.7%
20000,43.4%,1.43%,23.8%,3.71%,18.0%,5.90%,12.2%,11.2%
30000,34.8%,1.35%,19.2%,3.58%,14.6%,5.73%,9.9%,11.0%
40000,29.8%,1.30%,16.5%,3.50%,12.6%,5.63%,8.6%,10.9%
50000,26.5%,1.26%,14.7%,3.44%,11.2%,5.56%,7.6%,10.8%
60000,24.1%,1.24%,13.4%,3.40%,10.2%,5.51%,7.0%,10.7%
70000,22.2%,1.22%,12.4%,3.37%,9.4%,5.47%,6.4%,10.6%
80000,20.7%,1.21%,11.6%,3.35%,8.8%,5.44%,6.0%,10.6%
90000,19.4%,1.19%,10.9%,3.33%,8.3%,5.41%,5.7%,10.6%
100000,18.4%,1.18%,10.3%,3.31%,7.9%,5.39%,5.4%,10.5%
110000,17.5%,1.18%,9.8%,3.29%,7.5%,5.37%,5.1%,10.5%
120000,16.7%,1.17%,9.4%,3.28%,7.2%,5.36%,4.9%,10.5%
130000,16.1%,1.16%,9.0%,3.27%,6.9%,5.34%,4.7%,10.5%
140000,15.4%,1.15%,8.7%,3.26%,6.6%,5.33%,4.5%,10.5%
150000,14.9%,1.15%,8.4%,3.25%,6.4%,5.32%,4.4%,10.4%
160000,14.4%,1.14%,8.1%,3.24%,6.2%,5.31%,4.2%,10.4%
170000,14.0%,1.14%,7.9%,3.24%,6.0%,5.30%,4.1%,10.4%
180000,13.6%,1.14%,7.6%,3.23%,5.8%,5.29%,4.0%,10.4%
190000,13.2%,1.13%,7.4%,3.22%,5.7%,5.28%,3.9%,10.4%
200000,12.8%,1.13%,7.2%,3.22%,5.5%,5.28%,3.8%,10.4%
210000,12.5%,1.13%,7.1%,3.21%,5.4%,5.27%,3.7%,10.4%
220000,12.2%,1.12%,6.9%,3.21%,5.3%,5.26%,3.6%,10.4%
230000,12.0%,1.12%,6.7%,3.20%,5.2%,5.26%,3.5%,10.4%
240000,11.7%,1.12%,6.6%,3.20%,5.0%,5.25%,3.5%,10.3%
250000,11.5%,1.11%,6.5%,3.19%,4.9%,5.25%,3.4%,10.3%
